               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051578,            0.010682,            0.023596,             0.69168,             0.31467,             0.31302,             0.13102,            0.039289,           0.0066758,            0.010447,            0.070072,           0.0033253,           0.0033253
                   1,            0.046518,           0.0086504,            0.013391,             0.46738,              0.4314,             0.37926,             0.16874,            0.039835,           0.0069617,           0.0095028,            0.040006,           0.0065927,           0.0065927
                   2,            0.048511,           0.0086867,            0.012879,             0.68992,             0.30015,             0.30081,             0.13075,            0.043838,           0.0077382,            0.012319,           0.0098744,           0.0097941,           0.0097941
                   3,            0.051151,           0.0092242,            0.014734,             0.63909,             0.33066,             0.36578,             0.12979,            0.044577,           0.0070872,            0.012284,            0.009703,            0.009703,            0.009703
                   4,            0.048417,           0.0091025,            0.013542,             0.59307,             0.46158,              0.4622,             0.19451,            0.037718,           0.0064267,           0.0095466,            0.009703,            0.009703,            0.009703
                   5,            0.046694,           0.0085654,            0.012375,             0.71345,             0.41485,             0.48518,             0.20274,            0.038519,           0.0062649,            0.010017,            0.009604,            0.009604,            0.009604
                   6,            0.045116,           0.0084925,            0.010341,             0.71733,             0.43497,             0.45565,              0.1848,            0.040835,           0.0066194,            0.010049,            0.009505,            0.009505,            0.009505
                   7,            0.043822,           0.0082729,            0.010635,             0.74306,             0.42577,             0.45329,             0.15525,            0.036907,           0.0069298,           0.0098696,            0.009406,            0.009406,            0.009406
                   8,            0.044257,           0.0083156,           0.0099174,              0.6718,             0.48443,              0.5383,             0.24252,            0.035659,           0.0061564,           0.0078139,            0.009307,            0.009307,            0.009307
                   9,            0.043542,           0.0084736,            0.010567,             0.76125,             0.44435,             0.46652,             0.20119,            0.038803,           0.0065818,           0.0091863,            0.009208,            0.009208,            0.009208
                  10,            0.042346,           0.0080364,           0.0092569,             0.63864,             0.54188,             0.54645,             0.24045,            0.036554,            0.006113,           0.0066021,            0.009109,            0.009109,            0.009109
                  11,            0.042691,           0.0080589,           0.0092644,             0.73031,              0.4518,             0.49388,             0.22166,            0.035867,           0.0062254,           0.0076633,             0.00901,             0.00901,             0.00901
                  12,            0.041695,           0.0079195,           0.0085016,             0.59454,             0.55259,             0.52877,             0.23352,            0.035265,           0.0059323,           0.0076679,            0.008911,            0.008911,            0.008911
                  13,            0.041251,           0.0078421,           0.0089781,             0.84041,             0.46843,             0.53124,             0.22582,            0.036096,           0.0060003,           0.0066896,            0.008812,            0.008812,            0.008812
                  14,            0.041124,            0.007838,           0.0078651,             0.82615,             0.44539,             0.53399,             0.24081,            0.033457,           0.0057431,           0.0070772,            0.008713,            0.008713,            0.008713
                  15,            0.041336,           0.0077263,           0.0085727,             0.62648,             0.60756,             0.58113,             0.27895,            0.033756,           0.0057611,           0.0064398,            0.008614,            0.008614,            0.008614
                  16,            0.040945,           0.0077493,           0.0081149,             0.74359,             0.46453,             0.50633,             0.22207,            0.033504,           0.0058754,           0.0069855,            0.008515,            0.008515,            0.008515
                  17,            0.040293,           0.0076737,           0.0077509,             0.79068,                0.52,             0.54777,             0.24865,             0.03492,           0.0056617,           0.0068705,            0.008416,            0.008416,            0.008416
                  18,            0.040493,           0.0076704,           0.0076772,             0.60588,             0.45009,             0.51383,             0.23512,            0.033798,           0.0058322,           0.0068791,            0.008317,            0.008317,            0.008317
                  19,            0.039464,           0.0075172,           0.0072874,             0.75778,             0.52858,              0.5346,             0.23881,            0.032881,           0.0055509,            0.006774,            0.008218,            0.008218,            0.008218
                  20,            0.040197,           0.0076072,           0.0069695,             0.74986,             0.52285,             0.59357,             0.28948,            0.034133,            0.005596,            0.006403,            0.008119,            0.008119,            0.008119
                  21,            0.039201,           0.0074209,           0.0059136,             0.65911,             0.53222,             0.56461,             0.25529,            0.032863,           0.0055395,           0.0066329,             0.00802,             0.00802,             0.00802
                  22,            0.038951,            0.007509,           0.0062197,             0.70142,             0.47002,             0.55504,             0.25292,             0.03323,           0.0056251,           0.0067053,            0.007921,            0.007921,            0.007921
                  23,            0.039288,           0.0073397,           0.0059062,             0.67475,             0.50475,             0.58082,             0.27707,            0.032868,           0.0055834,           0.0063786,            0.007822,            0.007822,            0.007822
                  24,             0.03847,           0.0072586,           0.0059152,             0.87281,             0.54805,             0.62723,             0.29272,            0.032448,           0.0055435,           0.0061701,            0.007723,            0.007723,            0.007723
                  25,            0.039556,           0.0073584,           0.0071531,             0.78943,             0.55544,             0.58476,             0.28241,            0.031782,           0.0055837,           0.0064803,            0.007624,            0.007624,            0.007624
                  26,            0.038623,           0.0075429,           0.0064559,             0.67116,             0.58995,             0.58632,             0.28617,            0.032516,           0.0055559,           0.0061667,            0.007525,            0.007525,            0.007525
                  27,            0.037784,           0.0071875,           0.0056118,             0.68362,             0.55769,             0.59119,              0.2812,            0.031311,            0.005376,           0.0062732,            0.007426,            0.007426,            0.007426
                  28,             0.03808,            0.007242,           0.0053133,             0.73819,             0.56965,             0.61657,             0.29272,            0.032216,           0.0053933,           0.0062366,            0.007327,            0.007327,            0.007327
                  29,             0.03813,           0.0072625,           0.0057148,              0.6852,             0.53811,             0.58287,             0.26984,            0.032119,           0.0054439,           0.0064184,            0.007228,            0.007228,            0.007228
                  30,            0.037936,           0.0071886,           0.0052566,             0.65269,             0.56478,             0.56775,             0.28498,            0.031734,            0.005393,           0.0065876,            0.007129,            0.007129,            0.007129
                  31,            0.037798,            0.007087,           0.0052022,             0.66188,             0.64641,             0.61237,             0.29027,            0.031695,           0.0054174,           0.0053121,             0.00703,             0.00703,             0.00703
                  32,            0.037365,           0.0070833,           0.0048441,             0.81401,             0.50466,             0.58216,             0.28763,            0.031268,            0.005384,           0.0056365,            0.006931,            0.006931,            0.006931
                  33,            0.037561,           0.0071615,           0.0046442,             0.80633,             0.51575,             0.58538,              0.2732,            0.031484,           0.0053569,           0.0059983,            0.006832,            0.006832,            0.006832
                  34,            0.037606,            0.007182,           0.0052895,             0.70045,             0.52413,             0.58833,             0.28907,            0.031628,           0.0052723,            0.006223,            0.006733,            0.006733,            0.006733
                  35,            0.036983,           0.0070522,           0.0049671,             0.69185,             0.56539,             0.57586,             0.28308,            0.031677,           0.0052489,            0.006411,            0.006634,            0.006634,            0.006634
                  36,            0.036737,           0.0069198,           0.0047501,              0.6217,              0.5865,             0.57638,             0.28531,            0.031215,           0.0052848,            0.005994,            0.006535,            0.006535,            0.006535
                  37,            0.037358,           0.0069503,           0.0043363,             0.68194,             0.53294,             0.59281,             0.29486,            0.031177,           0.0052854,           0.0063518,            0.006436,            0.006436,            0.006436
                  38,            0.036533,           0.0068466,           0.0041074,             0.68483,             0.55502,             0.60062,             0.30333,            0.030923,           0.0052222,           0.0062423,            0.006337,            0.006337,            0.006337
                  39,            0.035841,           0.0068574,           0.0042956,             0.66239,             0.54512,             0.58817,             0.29077,            0.030962,           0.0052194,           0.0065041,            0.006238,            0.006238,            0.006238
                  40,            0.036363,           0.0069159,           0.0040114,             0.63943,             0.57169,             0.60632,              0.3047,            0.030881,           0.0052141,           0.0065084,            0.006139,            0.006139,            0.006139
                  41,            0.036575,           0.0069198,           0.0043606,             0.67636,             0.53506,             0.58617,             0.29876,            0.031067,           0.0052514,           0.0061661,             0.00604,             0.00604,             0.00604
                  42,            0.036116,           0.0068245,           0.0040594,             0.69006,             0.56258,              0.6095,             0.30138,            0.030784,           0.0052133,             0.00627,            0.005941,            0.005941,            0.005941
                  43,            0.035601,           0.0068207,           0.0039633,             0.72811,             0.54454,             0.60917,             0.30852,             0.03034,           0.0051943,           0.0062469,            0.005842,            0.005842,            0.005842
                  44,            0.034949,             0.00679,           0.0037169,             0.66171,              0.5924,             0.61063,             0.31099,            0.030847,           0.0052209,           0.0060624,            0.005743,            0.005743,            0.005743
                  45,            0.035244,           0.0067931,           0.0037375,             0.72798,             0.58172,             0.61402,              0.3124,            0.030041,           0.0051808,           0.0060636,            0.005644,            0.005644,            0.005644
                  46,             0.03478,           0.0067121,           0.0035488,             0.70857,             0.64488,             0.62203,             0.31815,            0.030109,           0.0051638,           0.0057552,            0.005545,            0.005545,            0.005545
                  47,            0.034797,           0.0066313,           0.0040857,              0.6722,             0.62767,             0.62398,             0.31639,            0.030611,           0.0051382,           0.0058162,            0.005446,            0.005446,            0.005446
                  48,            0.034788,            0.006684,           0.0039066,             0.68337,             0.62628,             0.62309,             0.31724,            0.030576,            0.005159,           0.0059645,            0.005347,            0.005347,            0.005347
                  49,            0.035077,           0.0066901,            0.003746,             0.72654,             0.60029,              0.6369,             0.32451,            0.030592,           0.0051399,           0.0060501,            0.005248,            0.005248,            0.005248
                  50,            0.034399,            0.006675,           0.0033802,              0.7203,             0.56281,             0.60357,             0.31056,            0.030469,           0.0051571,           0.0063486,            0.005149,            0.005149,            0.005149
                  51,            0.034093,           0.0065465,           0.0035146,             0.69389,             0.58307,              0.6088,             0.31546,             0.03035,           0.0051384,           0.0063526,             0.00505,             0.00505,             0.00505
                  52,            0.033798,           0.0064574,           0.0030512,             0.72169,             0.58378,             0.60974,             0.31789,            0.030311,           0.0051202,            0.006517,            0.004951,            0.004951,            0.004951
                  53,            0.033713,           0.0064684,           0.0032025,             0.71361,             0.57779,             0.60502,             0.30998,            0.030311,           0.0051216,           0.0065663,            0.004852,            0.004852,            0.004852
                  54,            0.033581,           0.0065561,           0.0032243,               0.732,             0.55627,             0.60312,             0.30663,            0.030402,            0.005117,           0.0066049,            0.004753,            0.004753,            0.004753
                  55,            0.034009,           0.0065765,            0.003026,             0.69989,             0.60561,             0.60384,              0.3045,            0.030244,           0.0051131,           0.0067588,            0.004654,            0.004654,            0.004654
                  56,            0.033277,           0.0065226,            0.002867,             0.74061,             0.57093,             0.60941,             0.31439,            0.030167,           0.0051047,           0.0065179,            0.004555,            0.004555,            0.004555
                  57,            0.033685,           0.0065253,           0.0029766,             0.73603,             0.56916,             0.61818,             0.31635,            0.030135,           0.0051045,            0.006332,            0.004456,            0.004456,            0.004456
                  58,            0.032831,            0.006447,           0.0027047,             0.75346,             0.59064,             0.62327,             0.31406,            0.030103,           0.0051058,           0.0064681,            0.004357,            0.004357,            0.004357
                  59,            0.033569,           0.0063861,            0.002728,             0.77179,             0.58819,             0.63212,             0.31895,            0.030159,           0.0051044,           0.0065248,            0.004258,            0.004258,            0.004258
                  60,            0.033184,           0.0064364,            0.002636,             0.77151,              0.5859,             0.62873,             0.31972,            0.030255,           0.0051133,           0.0066388,            0.004159,            0.004159,            0.004159
                  61,            0.032264,           0.0064259,            0.002583,             0.74905,             0.59087,             0.62183,             0.31508,            0.030222,           0.0051091,           0.0066735,             0.00406,             0.00406,             0.00406
                  62,            0.032574,           0.0063791,           0.0025311,             0.73822,             0.58724,             0.62003,             0.32015,            0.030213,           0.0051069,           0.0066437,            0.003961,            0.003961,            0.003961
                  63,            0.032336,           0.0063806,           0.0024768,             0.73853,             0.56486,             0.61586,             0.31559,            0.030146,           0.0050987,           0.0066314,            0.003862,            0.003862,            0.003862
                  64,            0.031921,           0.0062414,           0.0026351,             0.70891,             0.57788,             0.62307,             0.31973,            0.030091,           0.0050921,           0.0065633,            0.003763,            0.003763,            0.003763
                  65,            0.032248,           0.0062898,           0.0026686,             0.72177,             0.58269,             0.62549,             0.32234,            0.030061,           0.0050868,           0.0064649,            0.003664,            0.003664,            0.003664
                  66,            0.031708,           0.0062048,           0.0026089,             0.74817,             0.56895,             0.62755,               0.322,             0.03003,           0.0050842,           0.0064205,            0.003565,            0.003565,            0.003565
                  67,            0.031096,             0.00622,           0.0026084,             0.75911,             0.57691,             0.62593,             0.32459,            0.030017,           0.0050845,           0.0064567,            0.003466,            0.003466,            0.003466
                  68,            0.031298,           0.0061811,           0.0024224,             0.74923,             0.57346,             0.63039,             0.32237,            0.029959,           0.0050849,           0.0065283,            0.003367,            0.003367,            0.003367
                  69,            0.031296,           0.0061199,           0.0021955,             0.75028,             0.56801,             0.62881,             0.32113,            0.029937,           0.0050875,           0.0065681,            0.003268,            0.003268,            0.003268
                  70,            0.030808,           0.0061451,           0.0021578,             0.73495,             0.59633,             0.63607,             0.32393,            0.029938,           0.0050955,           0.0066422,            0.003169,            0.003169,            0.003169
                  71,            0.030156,           0.0061007,           0.0021074,             0.74408,             0.57774,             0.63346,             0.32003,            0.029952,           0.0051033,           0.0066433,             0.00307,             0.00307,             0.00307
                  72,            0.030292,           0.0060895,           0.0020644,             0.73963,              0.5776,             0.62617,             0.31359,            0.029988,           0.0051041,           0.0067387,            0.002971,            0.002971,            0.002971
                  73,            0.030426,           0.0060124,           0.0021009,             0.74712,             0.57227,             0.62655,             0.31696,             0.03003,           0.0051058,           0.0067766,            0.002872,            0.002872,            0.002872
                  74,            0.030045,           0.0060472,           0.0021509,             0.74459,             0.57371,             0.63205,             0.32165,            0.030057,           0.0051049,           0.0067667,            0.002773,            0.002773,            0.002773
                  75,            0.029438,           0.0060243,           0.0019221,             0.74133,             0.57415,             0.62959,             0.32135,            0.030064,           0.0051062,           0.0067702,            0.002674,            0.002674,            0.002674
                  76,             0.02908,           0.0058922,           0.0018305,             0.73415,             0.57933,             0.62962,             0.32302,            0.030089,           0.0051069,           0.0067504,            0.002575,            0.002575,            0.002575
                  77,            0.028773,           0.0059181,           0.0018123,             0.72918,             0.58011,             0.62923,             0.32318,            0.030119,           0.0051106,           0.0067318,            0.002476,            0.002476,            0.002476
                  78,            0.029753,             0.00591,           0.0017738,             0.73694,              0.5785,             0.62657,             0.32214,            0.030151,           0.0051113,           0.0067573,            0.002377,            0.002377,            0.002377
                  79,            0.028895,           0.0058395,           0.0018442,             0.73588,             0.57901,             0.62524,             0.32345,            0.030172,           0.0051135,             0.00677,            0.002278,            0.002278,            0.002278
                  80,            0.028152,           0.0058278,           0.0017376,             0.73606,             0.58332,             0.62458,             0.32167,            0.030211,           0.0051155,           0.0067819,            0.002179,            0.002179,            0.002179
                  81,             0.02837,            0.005861,           0.0016488,             0.73581,             0.58221,             0.62295,             0.32437,            0.030234,           0.0051183,           0.0067852,             0.00208,             0.00208,             0.00208
                  82,            0.027986,           0.0058202,           0.0015642,             0.73765,             0.57992,             0.62291,             0.32408,            0.030279,           0.0051209,            0.006793,            0.001981,            0.001981,            0.001981
                  83,            0.028281,           0.0058117,           0.0015356,             0.87059,             0.56087,             0.62482,             0.32416,            0.030309,           0.0051224,           0.0067901,            0.001882,            0.001882,            0.001882
                  84,            0.027427,           0.0057825,           0.0015713,             0.87353,             0.56054,             0.62472,              0.3232,            0.030332,           0.0051236,           0.0067977,            0.001783,            0.001783,            0.001783
                  85,            0.027414,           0.0057372,           0.0014726,              0.8739,             0.56039,             0.62237,              0.3224,            0.030363,           0.0051266,           0.0068037,            0.001684,            0.001684,            0.001684
                  86,            0.027425,           0.0056874,            0.001615,             0.87351,             0.56027,             0.62279,             0.32267,             0.03038,           0.0051296,           0.0068084,            0.001585,            0.001585,            0.001585
                  87,            0.026997,            0.005648,           0.0014352,             0.76294,             0.55955,             0.62282,             0.32269,            0.030383,            0.005133,            0.006802,            0.001486,            0.001486,            0.001486
                  88,            0.026704,           0.0056464,           0.0014639,             0.76008,             0.56161,               0.623,             0.32311,            0.030392,           0.0051363,           0.0067916,            0.001387,            0.001387,            0.001387
                  89,            0.026379,           0.0055337,           0.0012708,             0.75786,             0.56303,             0.62474,              0.3227,            0.030408,           0.0051396,           0.0067867,            0.001288,            0.001288,            0.001288
                  90,            0.026661,           0.0055542,           0.0013578,             0.75759,             0.56323,             0.62521,             0.32256,            0.030408,           0.0051425,           0.0067836,            0.001189,            0.001189,            0.001189
                  91,            0.026044,           0.0056378,           0.0013928,              0.7574,              0.5633,             0.62513,             0.32411,            0.030421,            0.005145,           0.0067853,             0.00109,             0.00109,             0.00109
                  92,            0.025855,            0.005514,           0.0012599,             0.75246,             0.56482,             0.62542,              0.3228,            0.030423,           0.0051482,           0.0067864,            0.000991,            0.000991,            0.000991
                  93,            0.025788,            0.005496,           0.0015519,             0.75167,             0.56494,             0.62554,             0.32253,             0.03044,           0.0051517,           0.0067881,            0.000892,            0.000892,            0.000892
                  94,             0.02505,           0.0054668,           0.0013388,             0.75082,             0.56527,             0.62547,             0.32164,            0.030453,           0.0051554,           0.0067931,            0.000793,            0.000793,            0.000793
