                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65757,                  1.102,                0.58657,                0.98143,                0.71636,                0.67848,                0.69445,                 0.5302,                0.64913,                0.63516,                0.63589,                0.42236,                0.60672,                0.93108,                0.55509,                0.92219,              0.0033075,              0.0033075,              0.0033075
                      2,                0.69149,                 1.1326,                0.61041,                0.99276,                0.69432,                0.65522,                0.67219,                0.50362,                0.64566,                0.62199,                0.62647,                0.41307,                0.65814,                0.96846,                0.60629,                0.94582,              0.0065586,              0.0065586,              0.0065586
                      3,                0.73748,                 1.1998,                  0.656,                 1.0136,                 0.6733,                0.62529,                0.64513,                0.46291,                0.60891,                0.56901,                0.58198,                0.36418,                0.75745,                 1.1233,                0.67557,                 1.0081,              0.0097273,              0.0097273,              0.0097273
                      4,                0.80016,                 1.3083,                0.71582,                  1.046,                0.69906,                0.58329,                0.61945,                0.44388,                0.63717,                0.55994,                0.57169,                0.35636,                0.78849,                 1.1811,                0.73317,                   1.03,              0.0096288,              0.0096288,              0.0096288
                      5,                0.80744,                 1.3307,                0.72295,                 1.0491,                0.72021,                0.60331,                 0.6362,                0.45432,                 0.6803,                 0.5529,                0.57819,                0.35914,                0.79611,                 1.1814,                0.70188,                 1.0318,              0.0096288,              0.0096288,              0.0096288
                      6,                0.81142,                 1.3281,                0.72246,                 1.0509,                 0.6647,                0.61321,                0.63552,                0.45574,                0.62032,                0.56169,                0.57939,                0.36467,                0.76245,                 1.1436,                0.67102,                  1.008,               0.009505,               0.009505,               0.009505
                      7,                 0.8063,                 1.3331,                0.72028,                 1.0525,                0.63881,                0.62727,                0.63629,                 0.4509,                0.62751,                 0.5599,                0.58483,                0.36185,                0.80767,                 1.1608,                 0.7131,                 1.0314,              0.0093813,              0.0093813,              0.0093813
                      8,                0.80421,                 1.3108,                0.71627,                 1.0501,                0.63754,                  0.641,                0.63868,                0.45647,                0.57836,                0.60296,                0.58494,                 0.3635,                 0.7735,                 1.2087,                 0.6993,                  1.018,              0.0092575,              0.0092575,              0.0092575
                      9,                 0.8036,                 1.3148,                0.71819,                 1.0502,                0.67433,                0.61677,                0.64106,                0.45733,                0.60094,                0.58186,                0.58258,                0.36916,                0.75383,                 1.1069,                0.70181,                 1.0095,              0.0091337,              0.0091337,              0.0091337
                     10,                0.79909,                 1.3085,                0.71169,                 1.0467,                0.67648,                0.63676,                0.65329,                0.47565,                 0.6076,                0.58946,                0.59222,                0.38014,                0.74104,                 1.1367,                0.66711,                0.99535,                0.00901,                0.00901,                0.00901
                     11,                0.80259,                 1.3168,                0.71374,                 1.0495,                0.64447,                0.63198,                0.64316,                0.46283,                0.65087,                 0.5551,                0.58077,                0.37312,                0.75237,                 1.1193,                0.68692,                 1.0065,              0.0088863,              0.0088863,              0.0088863
                     12,                0.79122,                 1.3071,                0.70654,                 1.0435,                0.66871,                 0.6256,                0.63844,                0.46176,                0.64065,                0.59126,                0.59501,                0.37604,                0.73703,                 1.0868,                0.67585,                0.99479,              0.0087625,              0.0087625,              0.0087625
                     13,                0.79204,                 1.2982,                0.70561,                 1.0444,                0.66452,                0.63362,                0.65334,                0.47123,                0.62245,                0.59878,                0.59153,                0.37269,                0.73077,                 1.1236,                 0.6654,                0.99573,              0.0086388,              0.0086388,              0.0086388
                     14,                0.78436,                 1.2893,                0.70269,                 1.0392,                0.66443,                 0.6388,                0.65008,                0.46915,                0.61465,                0.58076,                0.59311,                0.37324,                0.75733,                 1.1382,                0.68955,                 1.0136,               0.008515,               0.008515,               0.008515
                     15,                0.78601,                 1.2977,                 0.7002,                 1.0404,                 0.6662,                0.61621,                0.64098,                0.46812,                0.62061,                 0.5797,                 0.5878,                0.37666,                0.73866,                 1.1265,                0.69286,                 1.0012,              0.0083913,              0.0083913,              0.0083913
                     16,                0.77975,                 1.2819,                 0.6925,                 1.0376,                 0.6659,                0.61117,                 0.6389,                0.47057,                0.64286,                0.57157,                0.58835,                0.37511,                0.72586,                 1.0919,                0.65761,                0.99405,              0.0082675,              0.0082675,              0.0082675
                     17,                 0.7773,                 1.2785,                0.69343,                 1.0347,                0.69758,                0.62495,                0.65376,                0.48389,                0.63274,                0.57735,                0.59409,                0.38482,                0.72176,                 1.0751,                 0.6437,                0.98725,              0.0081437,              0.0081437,              0.0081437
                     18,                0.77876,                 1.2817,                0.69288,                 1.0389,                0.68615,                0.64101,                0.66876,                0.47925,                0.66845,                0.59209,                0.61486,                0.38569,                0.71962,                 1.0666,                0.65656,                0.98101,                0.00802,                0.00802,                0.00802
                     19,                0.76847,                 1.2679,                0.68426,                 1.0326,                0.68075,                0.62824,                0.65992,                0.47872,                0.66091,                0.58712,                 0.6055,                0.38128,                0.72584,                 1.0806,                0.65153,                0.98929,              0.0078963,              0.0078963,              0.0078963
                     20,                0.77053,                 1.2602,                0.68555,                 1.0326,                0.63855,                0.65903,                0.66497,                0.48255,                0.60286,                0.62203,                0.61206,                0.38938,                0.72845,                 1.0586,                0.65073,                0.98743,              0.0077725,              0.0077725,              0.0077725
                     21,                0.77107,                 1.2643,                0.68391,                 1.0296,                0.67559,                0.65238,                 0.6692,                0.48846,                0.64849,                0.59981,                0.61235,                0.38951,                0.69657,                 1.0501,                0.63413,                0.96484,              0.0076488,              0.0076488,              0.0076488
                     22,                0.76059,                 1.2579,                0.67736,                 1.0255,                0.64193,                0.65231,                0.65841,                0.48578,                0.67146,                0.58093,                0.60085,                0.38435,                0.70253,                 1.0598,                0.63138,                0.97494,               0.007525,               0.007525,               0.007525
                     23,                0.76101,                   1.25,                0.67369,                 1.0274,                0.65988,                0.65035,                0.66768,                 0.4876,                0.61944,                0.59942,                0.59842,                0.38776,                0.69267,                 1.0499,                0.62829,                0.96898,              0.0074013,              0.0074013,              0.0074013
                     24,                 0.7578,                 1.2388,                0.67156,                 1.0239,                0.64831,                0.65358,                0.65632,                0.48274,                0.61036,                0.60858,                0.60409,                0.38515,                0.71234,                  1.042,                0.63991,                0.98411,              0.0072775,              0.0072775,              0.0072775
                     25,                0.75359,                 1.2517,                 0.6676,                 1.0234,                0.70863,                0.63044,                0.66686,                0.49181,                0.63472,                0.58055,                0.59701,                0.39111,                0.68646,                 1.0485,                0.62439,                0.96432,              0.0071538,              0.0071538,              0.0071538
                     26,                0.75008,                 1.2343,                0.66192,                 1.0209,                0.73156,                0.63956,                0.67718,                0.50021,                0.65621,                0.58777,                0.60736,                0.39102,                   0.69,                  1.033,                0.60265,                0.96298,                0.00703,                0.00703,                0.00703
                     27,                0.74735,                 1.2355,                0.66093,                 1.0202,                0.68758,                0.64429,                0.66738,                0.48966,                0.60841,                0.60083,                0.59986,                0.39188,                0.68484,                 1.0334,                0.61634,                0.96075,              0.0069063,              0.0069063,              0.0069063
                     28,                0.74184,                 1.2142,                0.65936,                 1.0176,                0.65917,                0.66541,                0.67778,                0.50109,                0.64705,                0.60155,                0.61413,                0.39852,                0.67622,                 1.0146,                0.60126,                0.95783,              0.0067825,              0.0067825,              0.0067825
                     29,                0.74188,                 1.2076,                0.65667,                 1.0162,                0.66821,                0.66789,                0.67153,                0.49826,                0.62125,                0.60217,                0.60436,                0.39191,                0.67121,                 1.0094,                0.60481,                0.95926,              0.0066587,              0.0066587,              0.0066587
                     30,                0.74263,                 1.2293,                0.65492,                 1.0187,                0.69771,                0.66758,                0.68654,                0.50721,                0.66084,                0.59621,                0.62178,                0.40296,                0.67354,                 1.0025,                 0.6104,                 0.9588,               0.006535,               0.006535,               0.006535
                     31,                0.73572,                 1.2108,                0.65314,                 1.0158,                0.68714,                 0.6554,                0.68019,                0.50391,                0.62226,                0.59885,                0.61029,                0.39947,                0.66695,                0.99938,                0.60015,                0.95177,              0.0064112,              0.0064112,              0.0064112
                     32,                0.73587,                 1.2168,                0.64867,                 1.0141,                0.68928,                0.67106,                0.67799,                0.50551,                0.63534,                0.62926,                0.62742,                 0.4067,                0.66301,                0.99837,                0.59309,                0.95407,              0.0062875,              0.0062875,              0.0062875
                     33,                0.73771,                 1.2093,                0.65545,                 1.0181,                0.70014,                0.66049,                0.68723,                0.50715,                  0.638,                0.61301,                 0.6228,                0.40647,                0.66557,                0.99948,                0.59937,                0.94921,              0.0061637,              0.0061637,              0.0061637
                     34,                0.73144,                 1.2032,                  0.646,                 1.0115,                0.67288,                0.66647,                0.67978,                0.50762,                0.65669,                0.59015,                0.61156,                0.40307,                0.67113,                0.99326,                 0.5947,                0.95462,                0.00604,                0.00604,                0.00604
                     35,                0.73008,                 1.2095,                 0.6432,                 1.0117,                0.71371,                0.66443,                0.68885,                0.51273,                0.63948,                0.62073,                0.62096,                0.40875,                0.65374,                0.99521,                  0.585,                0.94838,              0.0059163,              0.0059163,              0.0059163
                     36,                0.72611,                 1.1934,                0.64295,                 1.0076,                0.64932,                0.67588,                0.68486,                0.51347,                0.64266,                0.60617,                 0.6181,                0.40752,                0.65865,                0.99925,                0.59008,                0.94764,              0.0057925,              0.0057925,              0.0057925
                     37,                0.72322,                 1.1894,                0.63908,                 1.0078,                0.67696,                0.66079,                0.67915,                0.50906,                0.64263,                0.60248,                0.61422,                0.40474,                0.64973,                0.98369,                0.58178,                0.93945,              0.0056688,              0.0056688,              0.0056688
                     38,                0.71954,                 1.1768,                 0.6346,                 1.0062,                0.70257,                0.67321,                0.69047,                0.51348,                0.63258,                0.62615,                0.61936,                0.40991,                0.63287,                0.97909,                0.57471,                0.93787,               0.005545,               0.005545,               0.005545
                     39,                0.71909,                 1.1755,                 0.6322,                 1.0046,                0.70844,                 0.6635,                0.68364,                 0.5189,                0.64692,                0.62509,                0.62515,                0.41748,                0.63183,                0.97122,                0.56492,                0.92905,              0.0054212,              0.0054212,              0.0054212
                     40,                0.71858,                  1.189,                0.63181,                 1.0049,                0.68722,                  0.672,                0.69475,                0.52034,                0.65797,                0.58907,                 0.6142,                0.41065,                0.62975,                0.97452,                0.56781,                 0.9302,              0.0052975,              0.0052975,              0.0052975
                     41,                0.71233,                 1.1784,                0.62853,                 1.0035,                 0.6837,                0.67566,                0.69251,                0.52392,                0.64008,                0.62298,                0.62942,                0.41658,                0.62304,                0.96066,                 0.5584,                0.92548,              0.0051737,              0.0051737,              0.0051737
                     42,                0.71068,                 1.1724,                0.62425,                 1.0008,                0.72674,                0.65671,                0.68682,                0.51774,                0.66775,                0.59748,                0.61804,                0.41167,                0.62033,                0.95338,                0.56913,                 0.9251,                0.00505,                0.00505,                0.00505
                     43,                0.71191,                  1.166,                0.62429,                 1.0014,                0.70492,                0.66824,                0.68519,                0.51955,                0.65172,                0.62894,                0.63022,                0.41471,                 0.6292,                0.96615,                0.56444,                 0.9329,              0.0049263,              0.0049263,              0.0049263
                     44,                 0.7063,                  1.165,                0.62134,                 1.0009,                0.70178,                0.67652,                0.69687,                0.52878,                0.64066,                0.62078,                0.63078,                0.42282,                0.62166,                0.94404,                0.55264,                0.92756,              0.0048025,              0.0048025,              0.0048025
                     45,                0.70662,                 1.1612,                0.61721,                0.99942,                0.69829,                0.68374,                0.69415,                0.52367,                0.64208,                0.63521,                0.63403,                0.42256,                0.62177,                0.96237,                0.56194,                 0.9274,              0.0046788,              0.0046788,              0.0046788
                     46,                 0.7059,                 1.1576,                0.61788,                0.99843,                0.70349,                0.67928,                0.69779,                0.52819,                0.64501,                 0.6383,                 0.6357,                0.42152,                0.62262,                0.93431,                0.55386,                0.93134,               0.004555,               0.004555,               0.004555
                     47,                0.69947,                 1.1589,                0.61479,                0.99625,                0.71152,                0.68145,                0.70031,                0.52916,                0.65573,                0.62695,                0.62766,                0.42112,                0.61663,                0.94593,                0.55559,                 0.9228,              0.0044313,              0.0044313,              0.0044313
                     48,                0.69559,                 1.1457,                0.61016,                0.99388,                0.71569,                0.68316,                0.70387,                0.53065,                0.65937,                0.61741,                0.63015,                0.42226,                0.62062,                0.94074,                0.55514,                  0.926,              0.0043075,              0.0043075,              0.0043075
                     49,                0.69487,                 1.1531,                0.61169,                0.99322,                0.71335,                0.67065,                0.69744,                0.52826,                0.65047,                0.61729,                0.63173,                0.42443,                0.61327,                0.93147,                0.55524,                0.92256,              0.0041837,              0.0041837,              0.0041837
                     50,                0.69317,                 1.1426,                0.60507,                0.99279,                0.71268,                 0.6801,                0.70598,                0.53134,                0.65586,                0.60994,                0.63006,                0.42156,                0.61087,                0.93462,                0.54758,                0.91868,                0.00406,                0.00406,                0.00406
                     51,                  0.695,                 1.1415,                0.60706,                 0.9935,                0.71059,                0.69085,                0.70647,                0.53396,                0.66247,                0.62729,                0.64084,                0.42674,                0.59731,                0.93902,                0.54122,                0.91168,              0.0039362,              0.0039362,              0.0039362
                     52,                0.68658,                 1.1336,                0.60322,                0.98884,                0.70054,                0.69162,                0.70439,                0.53673,                 0.6397,                 0.6345,                 0.6414,                0.42753,                0.60011,                0.92744,                0.53979,                0.91407,              0.0038125,              0.0038125,              0.0038125
                     53,                0.68369,                 1.1244,                0.59814,                0.99014,                0.71046,                0.69537,                0.70958,                0.53567,                0.67834,                 0.6206,                0.64211,                0.42863,                0.59888,                0.91951,                0.54481,                0.91456,              0.0036888,              0.0036888,              0.0036888
                     54,                0.68119,                 1.1237,                0.59882,                0.98912,                0.72245,                0.68341,                0.70723,                0.53323,                0.65577,                0.60205,                0.62631,                0.42291,                0.60559,                0.93427,                0.54373,                0.91523,               0.003565,               0.003565,               0.003565
                     55,                0.68062,                 1.1222,                0.59635,                0.98803,                0.70076,                0.69152,                0.70505,                0.53816,                0.65214,                0.63582,                0.63957,                0.42947,                0.60002,                0.91815,                0.54571,                0.91559,              0.0034413,              0.0034413,              0.0034413
                     56,                0.67661,                 1.1208,                0.59183,                0.98587,                0.72012,                0.68627,                0.70714,                0.53726,                0.66403,                0.62475,                0.63804,                0.42925,                0.59614,                 0.9152,                  0.539,                0.91414,              0.0033175,              0.0033175,              0.0033175
                     57,                0.67553,                 1.1128,                0.59013,                0.98507,                 0.6989,                0.68794,                0.70545,                0.53902,                 0.6612,                0.61684,                0.63799,                0.43113,                0.58935,                0.90659,                0.53278,                0.91017,              0.0031938,              0.0031938,              0.0031938
                     58,                0.67265,                 1.1132,                0.58948,                0.98407,                0.71952,                0.67917,                0.70956,                0.54314,                0.67284,                0.62351,                 0.6394,                0.43011,                0.59202,                0.91168,                 0.5345,                0.91128,                0.00307,                0.00307,                0.00307
                     59,                0.66874,                 1.1075,                0.58536,                0.98248,                0.73083,                0.68305,                0.71098,                0.54315,                0.67337,                0.63581,                0.64726,                0.43403,                0.59356,                0.91238,                0.53085,                0.91362,              0.0029462,              0.0029462,              0.0029462
                     60,                0.66916,                 1.1007,                 0.5868,                0.98187,                0.72267,                0.68006,                0.71168,                0.54415,                0.66227,                0.63264,                0.64239,                0.43333,                0.58206,                0.90983,                0.52996,                0.90459,              0.0028225,              0.0028225,              0.0028225
                     61,                 0.6683,                 1.1008,                0.58581,                0.98239,                0.69912,                0.68686,                 0.7084,                0.54161,                0.64901,                0.62232,                0.63843,                0.43265,                0.58366,                0.91008,                 0.5264,                0.90553,              0.0026987,              0.0026987,              0.0026987
                     62,                0.66405,                 1.0921,                0.57819,                0.97926,                0.68643,                0.70439,                0.71151,                0.54435,                0.65206,                0.62932,                0.64179,                0.43307,                0.58152,                0.91028,                0.52662,                0.90401,               0.002575,               0.002575,               0.002575
                     63,                0.66216,                 1.0877,                0.57671,                0.97918,                0.74624,                0.67419,                0.71269,                0.54607,                0.67834,                0.62731,                 0.6437,                0.43449,                0.58008,                0.90904,                0.52479,                 0.9036,              0.0024513,              0.0024513,              0.0024513
                     64,                0.66056,                 1.0832,                0.57624,                0.97808,                 0.7128,                0.69156,                0.71512,                0.54592,                0.67569,                0.62752,                0.64295,                0.43703,                 0.5777,                0.90689,                0.52257,                0.89961,              0.0023275,              0.0023275,              0.0023275
                     65,                 0.6537,                 1.0747,                0.57356,                0.97455,                0.71588,                0.69381,                0.71666,                0.54602,                0.65467,                0.63045,                0.64005,                 0.4342,                 0.5752,                0.90342,                0.52152,                0.90066,              0.0022038,              0.0022038,              0.0022038
                     66,                0.65163,                 1.0783,                0.56962,                0.97403,                 0.7289,                0.67988,                0.71719,                0.54642,                0.66972,                 0.6274,                0.64112,                0.43596,                0.57884,                0.90999,                0.52407,                0.90264,                0.00208,                0.00208,                0.00208
                     67,                 0.6572,                 1.0884,                0.57459,                0.97524,                0.73231,                0.67904,                0.71476,                0.54727,                0.65826,                0.63594,                0.64158,                0.43504,                0.57668,                0.90468,                0.52447,                0.89916,              0.0019563,              0.0019563,              0.0019563
                     68,                0.65105,                 1.0779,                 0.5684,                0.97387,                0.74563,                0.67655,                0.71802,                0.54854,                0.66559,                0.63017,                0.64348,                0.43678,                0.57081,                0.90521,                0.51873,                0.89624,              0.0018325,              0.0018325,              0.0018325
                     69,                0.64798,                 1.0679,                0.56266,                0.97146,                0.72613,                0.69496,                0.71722,                0.54961,                0.65437,                 0.6426,                0.64579,                0.43731,                0.56904,                 0.9002,                0.51529,                0.89581,              0.0017087,              0.0017087,              0.0017087
                     70,                0.64442,                 1.0663,                0.56335,                0.97071,                0.73445,                0.67699,                0.71761,                0.54931,                 0.6644,                0.63173,                0.64231,                0.43708,                0.56914,                0.89679,                0.51369,                0.89617,               0.001585,               0.001585,               0.001585
                     71,                0.61284,                0.87744,                0.53693,                0.96942,                0.70585,                0.70379,                0.71374,                0.54859,                0.63361,                0.65034,                 0.6391,                0.43458,                0.57427,                0.90359,                0.51448,                  0.898,              0.0014612,              0.0014612,              0.0014612
                     72,                0.59075,                0.83174,                0.51347,                0.95793,                0.72162,                0.69509,                0.71741,                0.55017,                0.64117,                0.64627,                0.64401,                0.43782,                0.57236,                0.90635,                0.51326,                0.89792,              0.0013375,              0.0013375,              0.0013375
                     73,                0.58339,                0.82357,                0.50809,                0.95461,                0.73174,                0.68479,                0.71991,                0.55105,                0.67008,                0.63922,                0.64583,                0.43835,                0.57198,                0.90504,                0.51032,                0.89755,              0.0012138,              0.0012138,              0.0012138
                     74,                0.57828,                0.81449,                0.50189,                0.95235,                0.73113,                0.68966,                0.72009,                0.55252,                0.65825,                0.64168,                0.64468,                0.43946,                0.57037,                0.90099,                0.51151,                 0.8954,                0.00109,                0.00109,                0.00109
                     75,                0.57443,                0.81048,                0.49908,                0.94942,                0.72552,                0.70156,                0.72306,                0.55585,                0.66205,                0.64464,                0.64711,                0.44143,                0.56697,                    0.9,                0.50869,                0.89469,             0.00096625,             0.00096625,             0.00096625
                     76,                0.56796,                0.80784,                0.49467,                0.94617,                0.73363,                0.69965,                0.72388,                0.55621,                0.65906,                 0.6519,                0.64846,                0.44063,                0.56381,                0.89834,                0.50393,                0.89313,              0.0008425,              0.0008425,              0.0008425
                     77,                 0.5637,                0.80546,                0.48998,                0.94549,                0.73665,                0.69779,                0.72449,                0.55699,                0.65822,                0.65263,                0.64808,                0.44162,                0.56255,                0.90015,                0.50194,                 0.8923,             0.00071875,             0.00071875,             0.00071875
                     78,                0.56116,                0.79505,                0.48828,                0.94257,                0.73214,                0.70712,                0.72728,                0.55825,                0.64943,                0.65441,                0.64881,                0.44246,                0.56176,                0.90004,                0.50116,                0.89115,               0.000595,               0.000595,               0.000595
                     79,                0.55477,                0.78631,                0.48178,                0.94066,                0.72822,                0.70598,                0.72684,                0.55878,                0.65242,                0.65662,                0.65031,                0.44429,                0.56177,                0.90349,                0.49996,                0.89114,             0.00047125,             0.00047125,             0.00047125
                     80,                0.55347,                0.79122,                0.48058,                 0.9398,                0.73715,                0.70571,                0.72666,                0.55921,                0.66131,                0.65527,                 0.6515,                0.44425,                0.56107,                0.90313,                0.49896,                 0.8917,              0.0003475,              0.0003475,              0.0003475
